Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
323,"José marroqui 28 col centro CD.MX. 06000, -",José marroqui 28 col centro CD.MX. 06000,Centro,-,-
324,"Amores 337. Del Valle. Deleg. Benito Juárez. 03100. CDMX, -",Amores 337. Del Valle. Deleg. Benito Juárez. 03100. CDMX,Del Valle,-,-
325,"Calle Miguel Angel 65 Int 2, Col Nonoalco Mixcoac, Mexico DF , CP 03700, -","Calle Miguel Angel 65 Int 2, Col Nonoalco Mixcoac, Mexico DF , CP 03700",NONOALCO MIXCOAC,-,-
326,"Yacatas 354 - N, Narvarte, CDMX, Benito Juárez, 03020, -","Yacatas 354 - N, Narvarte, CDMX, Benito Juárez, 03020",Narvarte,-,-
328,"Juan Sánchez azcona 1637, Del Valle, DF. 03100, -","Juan Sánchez azcona 1637, Del Valle, DF. 03100",Del Valle,-,-
329,"Calle Niños Héroes número 214, colonia San Pedro Mártir, Delegación Tlalpan, Código Postal 14650., -","Calle Niños Héroes número 214, colonia San Pedro Mártir, Delegación Tlalpan, Código Postal 14650.",SAN PEDRO MÁRTIR,-,-
331,"Alfonso Reyes 96. Colonia Condesa cp 06140, -",Alfonso Reyes 96. Colonia Condesa cp 06140,Condesa,-,-
332,"Cumbres de Maltrata 718 Col. Del Lago Del. Benito Juárez C.P. 03640, -",Cumbres de Maltrata 718 Col. Del Lago Del. Benito Juárez C.P. 03640,DEL LAGO,-,-
333,"CALLE 323 # 756, COL. NUEVA ATZACOALCO, DELEGACIÓN GUSTAVO A. MADERO, 07420, CIUDAD DE MÉXICO, -","CALLE 323 # 756, COL. NUEVA ATZACOALCO, DELEGACIÓN GUSTAVO A. MADERO, 07420, CIUDAD DE MÉXICO",NUEVA ATZACOALCO,-,-
334,"Niños heroes 214 san pedro martir tlalpan 14050, -",Niños heroes 214 san pedro martir tlalpan 14050,SAN PEDRO MÁRTIR,-,-
336,"Ahuejote,337, narvarte poniente, cd. México, 03020, -","Ahuejote,337, narvarte poniente, cd. México, 03020",NARVARTE PONIENTE,-,-
337,"Francisco Espejel 118 Edificio A, Moctezuma 1a sección, CDMX, 15500, -","Francisco Espejel 118 Edificio A, Moctezuma 1a sección, CDMX, 15500",MOCTEZUMA,-,-
338,"Sinaloa, 145, Roma Norte, Cuauhtemoc, 06700, -","Sinaloa, 145, Roma Norte, Cuauhtemoc, 06700",Roma,-,-
339,"Calzada de la viga 1337 colonia el retoño, -",Calzada de la viga 1337 colonia el retoño,COLONIA DEL RETOÑO,-,-
340,"calle ""F"" Edificio 26 Depto. 110, U. Hab. Alianza Popular Revolucionaria, Delegacion Coyoacan ,cp 04800 cdmx, -","calle ""F"" Edificio 26 Depto. 110, U. Hab. Alianza Popular Revolucionaria, Delegacion Coyoacan ,cp 04800 cdmx",ALIANZA POPULAR REVOLUCIONARIA,-,-
341,"Andrés Molina Enriquez, 4317, Col. Viaducto Piedad, CDMX, 08200, -","Andrés Molina Enriquez, 4317, Col. Viaducto Piedad, CDMX, 08200",VIADUCTO PIEDAD,-,-
342,"Providencia 1003 colonia Del Valle Centro 03100, -",Providencia 1003 colonia Del Valle Centro 03100,DEL VALLE CENTRO,-,-
343,"Calz. Melchor ocampo 436, Cuauhtemoc, 06500 CDMX, -","Calz. Melchor ocampo 436, Cuauhtemoc, 06500 CDMX",CUAUHTEMOC,-,-
344,"Av. Veracruz 113, Col. Condesa, Del. Cuauhtémoc, CP 06140, -","Av. Veracruz 113, Col. Condesa, Del. Cuauhtémoc, CP 06140",Condesa,-,-
345,"Pilares 527, Col. del Valle, Ciudad de México, 03100, -","Pilares 527, Col. del Valle, Ciudad de México, 03100",Del Valle,-,-
346,"Arroyo viejo 36 la escalera CP 07320 gam, -",Arroyo viejo 36 la escalera CP 07320 gam,LA ESCALERA,-,-
348,"Pilares 115, col del valle, benito juarez CP 03100, -","Pilares 115, col del valle, benito juarez CP 03100",Del Valle,-,-
349,"Serapio Rendón 70-32, Colonia San Rafael, México, 06470, -","Serapio Rendón 70-32, Colonia San Rafael, México, 06470",SAN RAFAEL,-,-
350,"Av. Insurgentes Sur 949 Colonia Napoles CD.MX. CP 03810, -",Av. Insurgentes Sur 949 Colonia Napoles CD.MX. CP 03810,Napoles,-,-
353,"lomas de vista hermosa no. 44 Col. lomas de vista hermosa c.p. 05100 ciudad de mexico, -",lomas de vista hermosa no. 44 Col. lomas de vista hermosa c.p. 05100 ciudad de mexico,LOMAS DE VISTA HERMOSA,-,-
356,"Taine 336, Polanco, Ciudad de México, 11570, -","Taine 336, Polanco, Ciudad de México, 11570",POLANCO,-,-
357,"Plaza Iztaccihuatl 36, -",Plaza Iztaccihuatl 36,Condesa,-,-
358,"Fernando Montes de Oca 15, Colonia Condesa, CDMX, 06100, -","Fernando Montes de Oca 15, Colonia Condesa, CDMX, 06100",Condesa,-,-
359,"Cafetales 215, col Rinconada Coapa 1ra Seccio, CDMX, 14330, -","Cafetales 215, col Rinconada Coapa 1ra Seccio, CDMX, 14330",RINCONADA COAPA,-,-
360,"San Antonio Abad 171, Colonia Obrera, Cuauhtémoc 06800, -","San Antonio Abad 171, Colonia Obrera, Cuauhtémoc 06800",COLONIA OBRERA,-,-
361,"Primera Cerrada de Río Churubusco Mz.2 No.14 Colonia Agrícola Pantitlan C.P.08100 Delegación Iztacalco, -",Primera Cerrada de Río Churubusco Mz.2 No.14 Colonia Agrícola Pantitlan C.P.08100 Delegación Iztacalco,AGRÍCOLA PANTITLAN,-,-
362,"Porción 2506, C 104, Reserva Territorial Atlixcayotl, Puebla, Puebla, CP 72190, -","Porción 2506, C 104, Reserva Territorial Atlixcayotl, Puebla, Puebla, CP 72190",RESERVA TERRITORIAL ATLIXCAYOTL,-,-
363,"Canada 160 Barrio San Lucas Coyoacan, -",Canada 160 Barrio San Lucas Coyoacan,BARRIO SAN LUCAS,-,-
364,"Toltecas 166, Torre J, departamento 206. Colonia Carola. Ciudad de México. CP 01180, -","Toltecas 166, Torre J, departamento 206. Colonia Carola. Ciudad de México. CP 01180",COLONIA CAROLA,-,-
365,"Calzada General Mariano Escobedo 388, Int 201, -","Calzada General Mariano Escobedo 388, Int 201",ANZURES,-,-
366,"Calzada de Tlalpan 2971, torre 7, Depto. 803, Col. Pueblo de Santa Ursula Coapa, Coyoacan, C.P. 04650, -","Calzada de Tlalpan 2971, torre 7, Depto. 803, Col. Pueblo de Santa Ursula Coapa, Coyoacan, C.P. 04650",PUEBLO DE SANTA URSULA COAPA,-,-
367,"Cuarta Calle Paseo Chico 14, Paseos de Tasqueña, Ciudad de México, 04250, -","Cuarta Calle Paseo Chico 14, Paseos de Tasqueña, Ciudad de México, 04250",Paseos de Taxqueña,-,-
368,"Viaducto Miguel alemán 936 col Nápoles cp 03810, -",Viaducto Miguel alemán 936 col Nápoles cp 03810,NAOLES,-,-
369,"Río Lerma No. 156, Colonia Cuauhtémoc, Delegación Cuauhtémoc, CP 06500, -","Río Lerma No. 156, Colonia Cuauhtémoc, Delegación Cuauhtémoc, CP 06500",CUAUHTEMOC,-,-
370,"VIADUCTO MIGUEL ALEMAN 46 COLONIA ALGARIN DEL. CUAUHTEMOC C.P. 06880, -",VIADUCTO MIGUEL ALEMAN 46 COLONIA ALGARIN DEL. CUAUHTEMOC C.P. 06880,ALGARAIN,-,-
371,"Oriente 243C, 55BIS, Agricola Oriental, CDMX, 08500, -","Oriente 243C, 55BIS, Agricola Oriental, CDMX, 08500",AGRICOLA ORIENTAL,-,-
372,"La Morena 1011, Col. Narvarte Poniente, Del. Benito Juárez, CDMX, CP 03020, -","La Morena 1011, Col. Narvarte Poniente, Del. Benito Juárez, CDMX, CP 03020",NARVARTE PONIENTE,-,-
373,"yosemite 87 colonia napoles 03810 cdmx, -",yosemite 87 colonia napoles 03810 cdmx,Napoles,-,-
374,"Manuel Villalongín No. 205, Colonia Cuauhtémoc, Delegación Cuauhtémoc. Ciudad de México, CP 06700, -","Manuel Villalongín No. 205, Colonia Cuauhtémoc, Delegación Cuauhtémoc. Ciudad de México, CP 06700",CUAUHTEMOC,-,-
375,"Rio Lerma 19, Col. cuauhtémoc, CDMX, 06500, -","Rio Lerma 19, Col. cuauhtémoc, CDMX, 06500",CUAUHTEMOC,-,-
376,"5 oriente#2208 int 3 el salvador, Puebla, 72365, -","5 oriente#2208 int 3 el salvador, Puebla, 72365","EL SALVADOR, PUEBLA",-,-
377,"Orizaba 93-C Col. Roma Norte, C.P. 06700 Ciudad de Mexico, -","Orizaba 93-C Col. Roma Norte, C.P. 06700 Ciudad de Mexico",Roma Norte,-,-
380,"Bélgica 319, Portales Norte, Ciudad de México 03300, -","Bélgica 319, Portales Norte, Ciudad de México 03300",PORTALES NORTE,-,-
381,"CALz. Ermita Iztapalapa 3321 C-6 308 reforma política ciudad de México, Iztapalapa 09730, -","CALz. Ermita Iztapalapa 3321 C-6 308 reforma política ciudad de México, Iztapalapa 09730",REFORMA POLÍTICA IZTAPALAPA,-,-
382,"Encarnacion Ortiz 1860 int A2-dpto 904, col Ampliación Cosmopolita, deleg Azcapotzalco C.P02920. Cd México, -","Encarnacion Ortiz 1860 int A2-dpto 904, col Ampliación Cosmopolita, deleg Azcapotzalco C.P02920. Cd México",AMPLIACION COSMOPOLITA,-,-
383,"Rio Colorado 33 Puente Blanco Iztapalapa, CDMX, México CP.09770, -","Rio Colorado 33 Puente Blanco Iztapalapa, CDMX, México CP.09770",PUENTE BLANCO IZTAPALAPA,-,-
384,"Nicolás León 61 B jardín balbuena Distrito Federal 15900, -",Nicolás León 61 B jardín balbuena Distrito Federal 15900,JARDIN BALBUENA,-,-
385,"Tejocotes 194 colonia del valle ciudad de mexico CP 03100, -",Tejocotes 194 colonia del valle ciudad de mexico CP 03100,Del Valle,-,-
387,"Anaxagoras 340, Narvarte, Ciudad de México, 03020, -","Anaxagoras 340, Narvarte, Ciudad de México, 03020",Narvarte,-,-
388,"Tercera cerrasa de zacapan #4 Colonia San Isidro Tulyehualco, Xochimilco C.p. 16739, -","Tercera cerrasa de zacapan #4 Colonia San Isidro Tulyehualco, Xochimilco C.p. 16739",SAN ISIDRO TULYEHUALCO,-,-
389,"Jalapa 237 int 7 col. Roma sur, CD.MX. 06760, -","Jalapa 237 int 7 col. Roma sur, CD.MX. 06760",ROMA SUR,-,-
390,"CUARTA CALLE DE PASEO CHICO #14 DPTO. 203, COL. PASEOS DE TAXQUEÑA COYOACAN 04250 CDMX ENTRE CALLES: PASEO DEL RIO Y CANAL DE CHURUBUSCO, -","CUARTA CALLE DE PASEO CHICO #14 DPTO. 203, COL. PASEOS DE TAXQUEÑA COYOACAN 04250 CDMX ENTRE CALLES: PASEO DEL RIO Y CANAL DE CHURUBUSCO",COYOACAN,-,-
392,"Lirio Acuático, 17, Barrio Xaltocán, Ciudad de México, 16090, -","Lirio Acuático, 17, Barrio Xaltocán, Ciudad de México, 16090",XALTOCÁN,-,-
393,"Tajin 09, piedad, narvarte, cdmx, 03000, -","Tajin 09, piedad, narvarte, cdmx, 03000",Narvarte,-,-
394,"Francisco I Madero 110 casa 1 colonia San Bartolo Ameyalco 01800 delegación Álvaro Obregón, -",Francisco I Madero 110 casa 1 colonia San Bartolo Ameyalco 01800 delegación Álvaro Obregón,SAN BARTOLO AMEYALCO,-,-
395,"Av. Civilizaciones, Edificio Manule Gamio, Tlalnepantla, México,, -","Av. Civilizaciones, Edificio Manule Gamio, Tlalnepantla, México,",TLANEPANTLA,-,-
397,"Jacarandas 55 colonia san clemente norte CP 01740, -",Jacarandas 55 colonia san clemente norte CP 01740,SAN CLEMENTE NORTE,-,-
398,"Toltecas 166 torre H colonia Carola delegación Álvaro Obregón, -",Toltecas 166 torre H colonia Carola delegación Álvaro Obregón,CAROLA,-,-
399,"Jaime Torres Bodet 259, Colonia Santa María la Ribera, Ciudad de México, 06400, -","Jaime Torres Bodet 259, Colonia Santa María la Ribera, Ciudad de México, 06400",SANTA MARIA DE LA RIBERA,-,-
400,"Calle Graciela, número 61, Col. Guadalupe Tepeyac, Del. Gustavo A. Madero, -","Calle Graciela, número 61, Col. Guadalupe Tepeyac, Del. Gustavo A. Madero",GUADALUPE TEPEYAC,-,-
401,"Insurgentes sur 206, Ciudad de México",Insurgentes sur 206,Roma Norte,Ciudad de México,6700
403,"economia 125 col cuatro arboles cp 15730, -",economia 125 col cuatro arboles cp 15730,CUATRO ÁRBOLES,-,-
404,"Heriberto Frías 1433, -",Heriberto Frías 1433,DEL VALLE CENTRO,-,-
405,"Av. Xola, 810 Int 102, Col. Del Valle Norte, Del. Benito Juarez, cdmx, C. P. 03103, -","Av. Xola, 810 Int 102, Col. Del Valle Norte, Del. Benito Juarez, cdmx, C. P. 03103",Del Valle norte,-,-
406,"Tepic 40, -",Tepic 40,ROMA SUR,-,-
407,"Toltecas 166 edificio H #802, col. Carola. Alvaro Obregón, Ciudad de México","Toltecas 166 edificio H #802, col. Carola. Alvaro Obregón",ALVARO OBREGÓN,Ciudad de México,-
408,"Enrique Rebsamen 18, Col. Narvarte, Ciudad de México, c.p. 03020, Ciudad de México","Enrique Rebsamen 18, Col. Narvarte, Ciudad de México, c.p. 03020",Narvarte,Ciudad de México,-
410,"Circuito Fuentes del Pedregla 105 dept 301, Ciudad de México",Circuito Fuentes del Pedregla 105 dept 301,Tlalpan,Ciudad de México,-
411,"EUGENIA 13 INT 602, Ciudad de México",EUGENIA 13 INT 602,Napoles,Ciudad de México,-
412,"Av. Azcapotzalco 202, Ciudad de México",Av. Azcapotzalco 202,Ángel Zimbrón,Ciudad de México,2099
413,"Yacatas 510, santa cruz atoyac, benito juarez, 03310, -","Yacatas 510, santa cruz atoyac, benito juarez, 03310",Santa Cruz Atoyac,-,-
414,"Calle michoacana 68 col Vicente villa da cd Nezahualcóyotl cp57710, -",Calle michoacana 68 col Vicente villa da cd Nezahualcóyotl cp57710,VICENTE VILLA,-,-
415,"Rio Becerra 150, Ciudad de México",Rio Becerra 150,San Pedro de los Pinos,Ciudad de México,3800
416,"Navarra 290, Ciudad de México",Navarra 290,Postal,Ciudad de México,3410
417,"Calle 13 Número 43 Colonia Espartaco, Delegación Coyoacán, C.P.04870, -","Calle 13 Número 43 Colonia Espartaco, Delegación Coyoacán, C.P.04870",ESPARTACO,-,-
418,"Circuito petunias 3 casa 11-b, colonia real de Tultepec, edo de México, -","Circuito petunias 3 casa 11-b, colonia real de Tultepec, edo de México",REAL DE TULTEPEC,-,-
419,"Yacatas 53 narvarte poniente cdmx 03020, -",Yacatas 53 narvarte poniente cdmx 03020,Narvarte,-,-
420,"Av. Tlahuac 4420, -",Av. Tlahuac 4420,Granjas Estrella,-,-
421,"Algodonales 17 casa 13, Ramos Millán delg Tlalpan, Ciudad de México","Algodonales 17 casa 13, Ramos Millán delg Tlalpan",Ramos Millan,Ciudad de México,4330
422,"Av. Tlahuac 4761, Ciudad de México",Av. Tlahuac 4761,El vergel,Ciudad de México,9880
423,"Diagonal de San Antonio 1233 Narvarte Poniente Ciudad de México 03020, -",Diagonal de San Antonio 1233 Narvarte Poniente Ciudad de México 03020,Narvarte,-,-
424,"Campesinos 133, -",Campesinos 133,GRANJAS ESMERALDA,-,-
426,"Rio tigris manzana 817 lote 18, Estado de México",Rio tigris manzana 817 lote 18,Jardines de morelos,Estado de México,55070
427,"Pachuca, 87, Ciudad de México","Pachuca, 87",Condesa,Ciudad de México,-
428,"Río Tigris #131, Ciudad de México",Río Tigris #131,CUAUHTEMOC,Ciudad de México,6500
429,"Luis de la Rosa #55, Ciudad de México",Luis de la Rosa #55,Presidentes Ejidales 2° sección,Ciudad de México,4470
430,"Multifamiliar para maestros de CU sin #, Col. UNAM. C.P. 04510. Coyoacan, Ciudad de México","Multifamiliar para maestros de CU sin #, Col. UNAM. C.P. 04510. Coyoacan",UNAM,Ciudad de México,4510
431,"Calle Zandunga entrada 4 depto 14, Ciudad de México",Calle Zandunga entrada 4 depto 14,Unidad independencia,Ciudad de México,10100
432,"oriental numero 28, Ciudad de México",oriental numero 28,a.p.r. fovissste,Ciudad de México,4800
433,"Calle Medellín 329, Ciudad de México",Calle Medellín 329,ROMA SUR,Ciudad de México,6760
434,"Obrero mundial 144, Ciudad de México",Obrero mundial 144,Del Valle norte,Ciudad de México,31000
437,"Lago Chalco 76, Ciudad de México",Lago Chalco 76,Anahuac,Ciudad de México,11320
438,"Eje Central 402 Entrada 2 departamento 402 (Edificio ISSSTE 11). Col. Nonoalco Tlatelolco. Delegación Cuahutémoc. Ciudad de México., Ciudad de México",Eje Central 402 Entrada 2 departamento 402 (Edificio ISSSTE 11). Col. Nonoalco Tlatelolco. Delegación Cuahutémoc. Ciudad de México.,Nonoalco Tlatelolco,Ciudad de México,6900
439,"Emperadores 224 entre vertiz y azores, Ciudad de México",Emperadores 224 entre vertiz y azores,PORTALES,Ciudad de México,3300
440,"Unidad Habitacional Mirasoles Condominio 32 Casa 72, Ciudad de México",Unidad Habitacional Mirasoles Condominio 32 Casa 72,La Esperanza,Ciudad de México,9900
441,"Calle pirules mz 23A lt 20 col Candelaria tío man, CDM, Gustavo A Madero 07330, -","Calle pirules mz 23A lt 20 col Candelaria tío man, CDM, Gustavo A Madero 07330",-,-,-
442,"Av cuauhtemoc 521, Ciudad de México",Av cuauhtemoc 521,Narvarte,Ciudad de México,3020
443,"Veracruz 55 Bis, Ciudad de México",Veracruz 55 Bis,Condesa,Ciudad de México,6140
444,"Cedros #39, Ciudad de México",Cedros #39,Ampliacion los olivos,Ciudad de México,13219
445,"Jean M. Nattier, 20, Extremadura Insurgentes, CDMX, 03740, -","Jean M. Nattier, 20, Extremadura Insurgentes, CDMX, 03740",EXTREMADURA INSURGENTES,-,-
446,"Calle 3 Sabadino Jaime #43, Ciudad de México",Calle 3 Sabadino Jaime #43,U.H Vicente Guerrero Iztapalapa,Ciudad de México,9200
447,"Artículo 123 no.94 col centro histórico, -",Artículo 123 no.94 col centro histórico,CENTRO HISTÓRICO,-,-
448,"Prol. División del Norte 4428 403, Ciudad de México",Prol. División del Norte 4428 403,Prado coapa,Ciudad de México,14350
449,"Calle tulcingo Número 2, Ciudad de México",Calle tulcingo Número 2,Lomas de san Lorenzo,Ciudad de México,9780
450,"Av. Coyoacán 1435, Edificio J dpto. 101, Ciudad de México","Av. Coyoacán 1435, Edificio J dpto. 101",Del Valle,Ciudad de México,3100
451,"La Coruña 90 departamento 1, Ciudad de México",La Coruña 90 departamento 1,Alamos,Ciudad de México,3400
452,"Orizaba 78 Roma norte, Ciudad de México",Orizaba 78 Roma norte,Roma Norte,Ciudad de México,6700
453,"Cerrada 693 num 9, Ciudad de México",Cerrada 693 num 9,Ctm san juan de Aragón,Ciudad de México,7990
454,"Unidad Habitacional Infonvit Tetelcingo, Morelos",Unidad Habitacional Infonvit Tetelcingo,Tetelcingo,Morelos,62757
455,"Chichenitza 330 interior 2A, Ciudad de México",Chichenitza 330 interior 2A,LETRAN VALLE,Ciudad de México,3650
456,"jesus gaona num. 22 col. moctezuma 1a secc. CDMX 15500, -",jesus gaona num. 22 col. moctezuma 1a secc. CDMX 15500,MOCTEZUMA,-,-
457,"Av. México 129, Ciudad de México",Av. México 129,Condesa,Ciudad de México,6100
458,"Matías Romero 280, Ciudad de México",Matías Romero 280,LETRAN VALLE,Ciudad de México,3650
459,"Torres Adalid 208, Ciudad de México",Torres Adalid 208,Del Valle,Ciudad de México,3100
460,"Cadiz 157, Ciudad de México",Cadiz 157,Alamos,Ciudad de México,3400
461,"Eugenia 1415, Ciudad de México",Eugenia 1415,NARVARTE PONIENTE,Ciudad de México,3020
462,"Rio Tiber 103, Ciudad de México",Rio Tiber 103,CUAUHTEMOC,Ciudad de México,6500
463,"lago espiridino no 71, Ciudad de México",lago espiridino no 71,tacuba,Ciudad de México,11410
464,"44288.0, Ciudad de México",44288,Credito constructor,Ciudad de México,3940
465,"Río nazas 169, -",Río nazas 169,CUAUHTEMOC,-,-
466,"periférico sur4091, Ciudad de México",periférico sur4091,fuentes del pedregal,Ciudad de México,14140
468,"Nicolas bravo #205, Hidalgo",Nicolas bravo #205,Barrio alto,Hidalgo,42807
469,"Francisco Villa manzana 76 lote 878, col Santa María Aztahuacan Iztapalapa 09500, Ciudad de México","Francisco Villa manzana 76 lote 878, col Santa María Aztahuacan Iztapalapa 09500",Santa María Aztahuacan,Ciudad de México,9500
470,"Av. Del convento, Ciudad de México",Av. Del convento,San Diego Churubusco,Ciudad de México,4120
471,"Puebla 256, Ciudad de México",Puebla 256,Roma Norte,Ciudad de México,6700
472,"Guadalajara 94a, Ciudad de México",Guadalajara 94a,Roma Norte,Ciudad de México,6700
473,"Amealco 18, Ciudad de México",Amealco 18,Roma,Ciudad de México,6760
474,"Av. Cuauhtémoc 506, Ciudad de México",Av. Cuauhtémoc 506,Narvarte,Ciudad de México,3020
475,"Amores 1636, Estado de México",Amores 1636,Del Valle,Estado de México,3100
476,"Venecia 5 col juarez, Ciudad de México",Venecia 5 col juarez,JUÁREZ,Ciudad de México,6600
477,"Av. Cuauhtémoc 1378, Ciudad de México",Av. Cuauhtémoc 1378,Santa Cruz Atoyac,Ciudad de México,3310
478,"Av. Popocatépetl 95 Bis, Ciudad de México",Av. Popocatépetl 95 Bis,Portales Sur,Ciudad de México,3300
479,"Camino de los toros #63B, Ciudad de México",Camino de los toros #63B,América,Ciudad de México,11820
480,"Enrico martinez no 10, Ciudad de México",Enrico martinez no 10,Centro,Ciudad de México,6040
481,"Calle Marte Mz3 lote 9, Ciudad de México",Calle Marte Mz3 lote 9,Media luna,Ciudad de México,4737
483,"Primero de mayo #13, Ciudad de México",Primero de mayo #13,NATIVITAS,Ciudad de México,3500
484,"Calzada de la virgen 3000, Ciudad de México",Calzada de la virgen 3000,San Francisco Culhuacan,Ciudad de México,4430
485,"Paseo de los naranjos 37, Ciudad de México",Paseo de los naranjos 37,Paseos de Taxqueña,Ciudad de México,4250
486,"Gabriel Mancera 225, Ciudad de México",Gabriel Mancera 225,Del Valle,Ciudad de México,3100
487,"Ernest j piper 60, Ciudad de México",Ernest j piper 60,Paseo de las lomas,Ciudad de México,1330
489,"Juan escutia 51 depa 602, Ciudad de México",Juan escutia 51 depa 602,Condesa,Ciudad de México,6140
490,"Presidente Carranza 133, Ciudad de México",Presidente Carranza 133,Villa Coyoacán,Ciudad de México,4000
491,"Pedro romero de terreros 924, Ciudad de México",Pedro romero de terreros 924,Del Valle norte,Ciudad de México,3100
492,"Av.Michoacan 110, Ciudad de México",Av.Michoacan 110,Condesa,Ciudad de México,6170
493,"Prolongacion Uxmal 1017, Ciudad de México",Prolongacion Uxmal 1017,Santa Cruz Atoyac,Ciudad de México,3310
495,"Francisco Sarabia 19, Ciudad de México",Francisco Sarabia 19,Pueblo Santa Martha Acatitla,Ciudad de México,9510
496,"Odontologia #69, Ciudad de México",Odontologia #69,Copilco Universidad,Ciudad de México,4360
497,"Rómulo Valdés, 160, Ciudad de México","Rómulo Valdés, 160",Presidentes Ejidales,Ciudad de México,4470
498,"Carlos Santana número 89 departamento 10, Ciudad de México",Carlos Santana número 89 departamento 10,Moctezuma 1ra sección,Ciudad de México,15500
500,"San Francisco 65, Ciudad de México",San Francisco 65,San Francisco Xicaltongo,Ciudad de México,8230
501,"Saltillo 64, Ciudad de México",Saltillo 64,Hipódromo Condesa,Ciudad de México,6140
502,"Boulevard Adolfo López Mateos 2001. Depto 312, Ciudad de México",Boulevard Adolfo López Mateos 2001. Depto 312,Los Alpes,Ciudad de México,1010
503,"Bernal Díaz del castillo 13 colonia Buenavista delegación cuauhtémoc cp 06350, Ciudad de México",Bernal Díaz del castillo 13 colonia Buenavista delegación cuauhtémoc cp 06350,Buenavista,Ciudad de México,6350
504,"Paseo de Echegaray #94 col. La Florida, Estado de México",Paseo de Echegaray #94 col. La Florida,La Florida,Estado de México,53160
505,"Narciso Mendoza #27, Huehuetlán el Chico, Tzicatlán, Puebla, 74728, -","Narciso Mendoza #27, Huehuetlán el Chico, Tzicatlán, Puebla, 74728","HUEHUETLAN, PUEBLA",-,-
507,"juan escutia 55, Ciudad de México",juan escutia 55,Condesa,Ciudad de México,6140
508,"Querétaro 170, Col. Roma Norte, Ciudad de México, 06700, -","Querétaro 170, Col. Roma Norte, Ciudad de México, 06700",Roma Norte,-,-
509,"Av. Cuauhtemoc 877 local. Colonia Piedad Narvarte, C.P. 03000 CDMX, Ciudad de México","Av. Cuauhtemoc 877 local. Colonia Piedad Narvarte, C.P. 03000 CDMX",Piedad Narvarte,Ciudad de México,3000
510,"Rancho el encanto 46, Ciudad de México",Rancho el encanto 46,Santa Cecilia,Ciudad de México,4930
511,"CALZ. SAN JUAN DE ARAGON NUM. 533 EDIF. E-401, Ciudad de México",CALZ. SAN JUAN DE ARAGON NUM. 533 EDIF. E-401,U. HAB. RIO DE GUADALUPE,Ciudad de México,7950
512,"Fresno 76 int 102, Ciudad de México",Fresno 76 int 102,Santa maria la ribera,Ciudad de México,6400
513,"Puebla 220, Ciudad de México",Puebla 220,Roma Norte,Ciudad de México,6700
514,"Dr. Vertiz 1052 - 101, Ciudad de México",Dr. Vertiz 1052 - 101,VERTIZ NARVARTE,Ciudad de México,3600
517,"Puebla 302, Ciudad de México",Puebla 302,Roma Norte,Ciudad de México,6700
518,"Lago Zirehuen 227, Ciudad de México",Lago Zirehuen 227,Anahuac II seccion,Ciudad de México,11320
519,"Lirios 13 Infonavit Iztacalco 08900, -",Lirios 13 Infonavit Iztacalco 08900,-,-,-
520,"Raquel Banda Farfán No 60-9, Ciudad de México",Raquel Banda Farfán No 60-9,Rincón Centenario,Ciudad de México,1590
521,"Av Popocatépetl 138 Col Portales Sur, Ciudad de México",Av Popocatépetl 138 Col Portales Sur,Portales Sur,Ciudad de México,3300
522,"CALLE HILADO N°6, Ciudad de México",CALLE HILADO N°6,SANTA MARIA NATIVITAS,Ciudad de México,16450
523,"Luis Carracci 46 San Juan Mixcoac 03730, -",Luis Carracci 46 San Juan Mixcoac 03730,-,-,-
524,"beethoven 73, Ciudad de México",beethoven 73,Peralvillo,Ciudad de México,6220
525,"Doctoro mariano azuela 138, Ciudad de México",Doctoro mariano azuela 138,Santa maria la ribera,Ciudad de México,6400
526,"Palermo 13, Ciudad de México",Palermo 13,Américas Unidas,Ciudad de México,3610
527,"Lázaro cardenas M2D L20, Estado de México",Lázaro cardenas M2D L20,Acuitlapilco,Estado de México,56335
528,"Neurólogos (antes independencia), Ciudad de México",Neurólogos (antes independencia),Apatlaco,Ciudad de México,9430
529,"Tierra Pródiga Manzana 8 Lote 19, Estado de México",Tierra Pródiga Manzana 8 Lote 19,Novela Mexicana II,Estado de México,55268
530,"Mapimi # 6 B-303, Ciudad de México",Mapimi # 6 B-303,Valle Gomez,Ciudad de México,6240
531,"Cerro Libertad 293, Ciudad de México",Cerro Libertad 293,Campestre Churubusco,Ciudad de México,4200
532,"Primaria Simón Bolívar Balbuena Ret. 13 de Fray Servando Teresa de Mier 29 Col. Jardín Balbuena, Ciudad de México",Primaria Simón Bolívar Balbuena Ret. 13 de Fray Servando Teresa de Mier 29 Col. Jardín Balbuena,JARDIN BALBUENA,Ciudad de México,15900
533,"Florencia 14, Ciudad de México",Florencia 14,JUÁREZ,Ciudad de México,6600
534,"Dr. Rafael Lucio 162, Ciudad de México",Dr. Rafael Lucio 162,Doctores,Ciudad de México,6720
535,"Manuel M.Flores 102, Depto 401 Edificio 2A, Ciudad de México","Manuel M.Flores 102, Depto 401 Edificio 2A",Santiago Zapotitlán,Ciudad de México,13300
536,"Platino 120, Ciudad de México",Platino 120,Valle Gomez,Ciudad de México,15210
537,"Correspondencia 15, Ciudad de México",Correspondencia 15,Alamos,Ciudad de México,3400
538,"alabama 194, Ciudad de México",alabama 194,Napoles,Ciudad de México,3810
